fen,best_move,best_move_san,best_move_eval,next_best,next_best_eval,moving_piece,is_capture,is_check,capture_range
r3k1nr/pp3ppp/2n1p3/8/3P2b1/P1q2N2/4BPPP/R1BQ1RK1 w kq -,c1d2,Bd2,313,d4d5,77,bishop,False,False,
r1bqkb1r/ppp2ppp/2n2n2/3pp1N1/2B1P3/8/PPPP1PPP/RNBQK2R w KQkq -,e4d5,exd5,0,c4b5,-153,pawn,True,False,
2bq1rk1/2b1npp1/r4n1p/1p1pN3/P1pP3B/2P2Q1P/P1BN1PP1/R3R1K1 b - -,b5a4,bxa4,44,d8e8,155,pawn,True,False,
r1bqkb1r/pp3ppp/2p2n2/nB1Pp1N1/8/8/PPPP1PPP/RNBQK2R w KQkq -,d5c6,dxc6,12,b5e2,-127,pawn,True,False,
r1bq1b1r/pppp1kpp/2n5/4p3/4n3/2N2N2/PPPP1PPP/R1BQK2R w KQ -,c3e4,Nxe4,-121,d2d4,-316,knight,True,False,
2b2N2/1p6/5p1k/p3p1p1/P2PP3/6KP/6P1/8 w - -,d4d5,d5,-84,g3f3,-693,pawn,False,False,
3n4/3Pk3/1p4p1/pBr1p3/P3Pp1P/5P2/3R3K/8 w - -,d2g2,Rg2,298,h2g1,163,rook,False,False,
r1bq1b1r/pppp1kpp/2n5/4p3/4N3/5N2/PPPP1PPP/R1BQK2R b KQ -,d7d5,d5,-125,f7g8,-25,pawn,False,False,
r1b4k/1p2br1p/pq2p2B/2n1p3/2n3Q1/2N5/PPP3PP/2KR1R2 w - -,d1d8,Rd8+,747,c3a4,555,rook,False,True,
r1bq1b1r/ppp2kpp/2n5/3pp1N1/8/5N2/PPPP1PPP/R1BQK2R b KQ -,f7g8,Kg8,-225,f7e8,-42,king,False,False,
r3k2r/1p2p3/p2ppnpb/4n1Qp/7P/1NN5/PPP2PP1/2KR2R1 w kq -,f2f4,f4,253,g5h6,7,pawn,False,False,
2b2N2/1p6/5p1k/p3P1p1/P3P3/6KP/6P1/8 b - -,f6e5,fxe5,-735,h6g7,-587,pawn,True,False,
r5k1/ppp2p1p/6pB/4n2n/3bP2q/2NB1R1P/PPP3PK/R2Q4 b - -,e5g4,Ng4+,-348,a8e8,336,knight,False,True,
r3r1k1/1b2qppB/p7/1p1Pb3/1P6/P7/1B2Q1PP/3R1RK1 b - -,g8h7,Kxh7,454,g8f8,629,king,True,False,
r3r3/1b2qppk/p7/1p1Pb3/1P6/P7/1B2Q1PP/3R1RK1 w - -,e2h5,Qh5+,328,e2e5,-356,queen,False,True,
rnbqkb1r/ppp1pp1p/5np1/3P4/3P4/2N5/PP2PPPP/R1BQKBNR b KQkq -,f6d5,Nxd5,45,f8g7,190,knight,True,False,
2R2n2/5kp1/8/P4Nb1/8/2p2p2/8/5K2 w - -,a5a6,a6,20000,c8c3,9605,pawn,False,False,
r3r1k1/1b2qpp1/p7/1p1Pb2Q/1P6/P7/1B4PP/3R1RK1 w - -,b2e5,Bxe5,406,d5d6,0,bishop,True,False,3
rn1qk2r/ppp2ppp/8/2b1p3/2b1nP2/4NN2/PPPP2PP/R1BQK2R w KQkq -,e3c4,Nxc4,-222,d2d3,-377,knight,True,False,
rn2kbnr/ppp1pppp/8/q4b2/1P1P4/2N2P2/P1P1B1PP/R1BQK1NR b KQkq -,a5b4,Qxb4,-75,a5b6,110,queen,True,False,1
8/2R2b2/3r1k2/pB3p2/5P1p/P7/1P3KP1/8 w - -,c7c6,Rc6,532,c7d7,86,rook,False,False,
rn1qk2r/ppp2ppp/8/2b1p3/2N1nP2/5N2/PPPP2PP/R1BQK2R b KQkq -,e4f2,Nf2,-206,e8h8,-44,knight,False,False,
R4rk1/5ppp/4b3/8/8/3B3P/5PP1/6K1 w - -,d3h7,Bxh7+,703,a8f8,1,bishop,True,True,4
6k1/5pp1/8/1pb1P3/2p4p/2P4r/1P3PK1/1N3R2 b - -,h3d3,Rd3,-578,h3c3,573,rook,False,False,
r3r1k1/1b3pp1/p7/1p1Pq2Q/1P6/P7/6PP/3R1RK1 w - -,h5f7,Qxf7+,359,f1f5,-481,queen,True,True,2
8/1nkP4/1p3K2/pB6/P3Pp2/4r3/8/7R w - -,h1h8,Rh8,719,f6e5,385,rook,False,False,
5qk1/p4pbp/2p1b1p1/2Pp3n/1r6/1P2QP2/PN2B1PP/R4R1K w - -,b2d3,Nd3,0,g2g4,-151,knight,False,False,
6k1/p2nBpp1/4pq1p/2p5/2P5/6P1/PrQ2P1P/R2R2K1 b - -,b2c2,Rxc2,345,f6e5,471,rook,True,False,1
r1bqkbnr/pp1p1ppp/2n1p3/8/3pP3/2N2N2/PPP2PPP/R1BQKB1R w KQkq -,f3d4,Nxd4,34,c3b1,-97,knight,True,False,
1R6/5ppk/4q1n1/b2pr1Pp/2pP2b1/p1P3N1/P1B2PP1/2Q3K1 w - -,d4e5,dxe5,102,c2g6,0,pawn,True,False,
8/1nkP4/1p3K2/pB2P3/P4p2/4r3/8/7R b - -,b7c5,Nc5,9,f4f3,630,knight,False,False,
R4r2/5ppk/4b3/8/8/7P/5PP1/6K1 w - -,a8f8,Rxf8,504,a8a1,-175,rook,True,False,5
8/1b1Q1ppk/p2bp2p/1p1q4/3Pp3/1P2B1P1/P6P/2R3K1 b - -,d6f4,Bf4,-863,h7g6,0,bishop,False,False,
2b5/1p3k2/4Np2/p2Pp1p1/P3P3/7P/5KP1/8 b - -,b7b6,b6,-131,c8e6,-2,pawn,False,False,
r3kb1r/pp1N1pp1/2p1p2p/q2n3P/3P1B2/2PQ2N1/PP3PP1/R3K2R b KQkq -,d5f4,Nxf4,-92,e8d7,86,knight,True,False,
8/5ppk/6n1/1R1pq1Pp/2p3b1/p1b1Q1N1/P1B2PP1/6K1 b - -,e5e3,Qxe3,96,c3d4,226,queen,True,False,2
8/8/1R6/8/P3k3/5p2/8/3K2b1 w - -,a4a5,a5,1154,b6b5,835,pawn,False,False,
r5k1/ppp2p1p/6pB/7n/3bP1nq/2NB1R1P/PPP3P1/R2Q3K b - -,h5g3,Ng3+,-326,g4h6,182,knight,False,True,
r1bqkb1r/pp1n1pp1/2pp1n1p/4P3/2B1P3/2N1BN2/PPP2P1P/R2QK1R1 b Qkq -,d6e5,dxe5,0,f6h7,255,pawn,True,False,
8/1b3ppk/p3p2p/1p1Q4/3Ppb2/1P2B1P1/P6P/2R3K1 b - -,f4e3,Bxe3+,-512,b7d5,435,bishop,True,True,1
2K5/2P1k3/2n5/3B1ppp/8/p5P1/4PP1P/8 w - -,c8b7,Kb7,903,d5c6,705,king,False,False,
8/1nkPRK2/1p2P3/pB6/P7/7r/5p2/8 w - -,e7e8,Re8,878,f7g6,327,rook,False,False,
5N2/1p4p1/3Qpp1k/p2p1b2/P2P3p/4PP1P/2q3PK/8 b - -,c2f2,Qf2,-266,c2c1,-127,queen,False,False,
r1bqkb1r/ppp2ppp/2n5/4p3/4p3/3B1N2/PPPP1PPP/R1BQK2R w KQkq -,d3e4,Bxe4,-18,d3b5,-461,bishop,True,False,1
3k4/3P4/1p1K4/p7/P7/4r3/5p2/5R2 b - -,e3f3,Rf3,-621,e3e2,-496,rook,False,False,
1R6/3q1ppk/6n1/b2p2Pp/2pP2b1/p1P5/P1BQrPPB/5NK1 w - -,d2c1,Qc1,-101,c2g6,-430,queen,False,False,
r5k1/ppp2p1p/6pB/8/3bP1nq/2NB2RP/PPP3P1/R2Q3K b - -,g4f2,Nf2+,-326,g4h6,490,knight,False,True,
1rb2rk1/4pp1p/pn1p2p1/Q1p5/3bP3/1B3P2/PP4PP/1KN4R w - -,c1e2,Ne2,-91,a5a3,-206,knight,False,False,
5N2/1p4p1/3Qpp1k/p2p1b2/P2P3p/4P2P/2q2PPK/8 w - -,f8e6,Nxe6,-16,f2f3,-248,knight,True,False,
3rqrk1/p1p2ppp/2P2n2/8/1b4b1/2N2P2/PPPBB1PP/R2QK2R b KQ -,b4c5,Bc5,-253,e8e5,-68,bishop,False,False,
7r/1p2R3/p1bR1rk1/2P2p2/5P1p/3B4/PP4P1/3K4 w - -,e7e5,Re5,122,e7e6,13,rook,False,False,
rnbqkb1r/ppp2ppp/3p1n2/8/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq -,f6e4,Nxe4,37,c7c6,172,knight,True,False,
2K5/2P1k3/2B5/5ppp/8/p5P1/4PP1P/8 b - -,a3a2,a2,731,e7d6,917,pawn,False,False,
r1b5/4kq2/p1Bbp1Qp/6p1/8/4B1P1/PPP4P/6K1 w - -,g6h6,Qxh6,526,g6f7,331,queen,True,False,1
8/1b3ppk/p3p2p/1p1Q4/3Pp3/1P2b1P1/P6P/2R2K2 b - -,b7d5,Bxd5,-624,e6d5,-57,bishop,True,False,2
8/8/1p2NpkP/1b1Pp3/p3P3/4K3/8/8 w - -,e3d2,Kd2,-34,h6h7,-434,king,False,False,
r1b2r2/pp3kp1/1q2p3/3pPp1Q/4n3/7R/PP3PPP/R4BK1 b - -,f7e7,Ke7,-440,f7g8,-286,king,False,False,
8/1pB5/p1p5/8/PP5r/2P4k/5Kp1/8 w - -,c7b6,Bb6,-799,c7b8,-3384,bishop,False,False,
8/1q6/p3p1k1/2P1Q2p/P3P2P/2P5/4r1PK/8 w - -,e5g5,Qg5+,906,c5c6,0,queen,False,True,
8/1p4pk/1N1Qpp2/p2p1b2/P2P3p/4P2P/5PPK/2q5 w - -,b6d7,Nd7,-16,d6d7,-208,knight,False,False,
3r2k1/1B3ppp/pb2p3/1p2P3/1P3Pnq/P5r1/1B2Q2P/2R2R1K b - -,g4h2,Nxh2,-4141,g3h3,-3921,knight,True,False,
r3kb1r/p2n1pp1/b1p2n1p/q3p3/1p2P3/1BNQB3/PPPN1P1P/2KR2R1 w kq -,d2c4,Nc4,52,c3b5,-307,knight,False,False,
8/5k2/8/p4p2/5P1p/P7/1P3KP1/8 w - -,b2b4,b4,20000,f2e3,4212,pawn,False,False,
3k4/3r4/1pK5/p7/P7/8/5p2/5R2 b - -,d7f7,Rf7,-713,d7d2,-1,rook,False,False,
5N2/1p4p1/3Qpp1k/p2p1b2/P2P3p/4PP1P/5qPK/8 w - -,d6f4,Qf4+,-237,d6c7,-403,queen,False,True,
r5k1/ppp2p1p/6pB/4n2n/3bPp1q/2NB3P/PPP3PK/R2Q1R2 b - -,f4f3,f3,-423,d4e3,-70,pawn,False,False,
1k4r1/2p1Rp2/pp1p1R2/8/P2r4/1P3QqP/6P1/6K1 w - -,e7e8,Re8+,619,f3g3,0,rook,False,True,
5N2/1pQ5/4pp1k/p2p1bp1/P2P3p/4PP1P/5qPK/8 b - -,f2g3,Qg3+,-319,f2e3,0,queen,False,True,
rnbqkb1r/pp2pppp/3p4/2p5/4n3/2P2N2/PP1PBPPP/RNBQK2R w KQkq -,d1a4,Qa4+,257,e1h1,-49,queen,False,True,
qnb1k2r/2p2pQp/1n2p3/1p2P3/2pP4/2P2N2/5PPP/2B1KB1R b Kk -,a8a1,Qa1,0,h8f8,211,queen,False,False,
1nb1k2Q/2p2p1p/1n2p3/1p2P3/2pP4/2P2N2/5PPP/q1B1KB1R b K -,e8d7,Kd7,0,e8e7,346,king,False,False,
rn1qkb1r/ppp2ppp/4pn2/3p1B2/3P4/4PN2/PPP2PPP/RNBQK2R b KQkq -,e6f5,exf5,8,c7c5,392,pawn,True,False,
7r/1p6/p1bR1rk1/2P1Rp2/5P1p/3B4/PP4P1/3K4 b - -,f6d6,Rxd6,142,g6g7,248,rook,True,False,2
4k3/4r3/3Q4/8/3K4/8/8/8 b - -,e7d7,Rd7,0,e7e2,1155,rook,False,False,
r1b1k2r/p1p1qppp/2p2n2/6B1/1b1Qp3/2N2P2/PPP3PP/R3KB1R w KQkq -,e1a1,O-O-O,138,g5f6,35,king,False,False,
8/1R6/5b2/1p3p2/3k4/8/PP5P/1K6 w - -,b7b5,Rxb5,748,b7f7,647,rook,True,False,2
r1b1k1nr/pp1nb1Np/2pq4/8/8/8/PPPB1PPP/RN1QR1K1 b kq -,e8f7,Kf7,355,e8f8,564,king,False,False,
5N2/1p6/5p1k/p2ppbp1/P2P4/4PPKP/6P1/8 w - -,e3e4,e4,-296,d4e5,-528,pawn,False,False,
r1b5/4kq2/p1Bbp1Q1/6p1/8/6P1/PPP4P/6K1 w - -,g6g5,Qxg5+,-167,g6f7,-337,queen,True,True,1
r1bqkbr1/ppp2p1p/2n1P3/6pn/2BP1p2/5N2/PP4PP/RNBQ1RK1 b q -,f7e6,fxe6,-134,c8e6,9,pawn,True,False,
3rqrk1/p1p2ppp/2P5/2b5/6n1/2N5/PPPBB1PP/R2QK2R w KQ -,h1f1,Rf1,-247,e1f1,-356,rook,False,False,
rnbqkb1r/ppp1pp1p/6p1/8/3PP3/2n5/PP3PPP/R1BQKBNR w KQkq -,b2c3,bxc3,18,d1c2,-176,pawn,True,False,
Q7/5kp1/8/5Nb1/8/5p2/2p5/5K2 w - -,a8a2,Qa2+,20000,a8d5,3380,queen,False,True,
3Q4/4rk1p/1p4p1/1Pp5/2P5/6P1/6KP/8 w - -,d8b6,Qxb6,7912,g2h3,838,queen,True,False,2
1k3r2/ppp2R2/1b6/4Q1Bp/3rq2P/P7/1P4P1/R6K b - -,e4h4,Qxh4+,-580,f8e8,7,queen,True,True,3
8/1pB5/p1p5/8/PP6/2P4k/4rKp1/8 w - -,f2e2,Kxe2,-661,f2f3,-3462,king,True,False,
r5k1/ppp2p1p/6pB/8/3bP2q/2NB2RP/PPP2nP1/R2Q3K w - -,h1h2,Kh2,-322,h1g1,-539,king,False,False,
r5k1/ppp2p1p/6pB/8/3bP2q/2NB2RP/PPP2nPK/R2Q4 b - -,f2d1,Nxd1,-353,d4c3,502,knight,True,False,
r2qkbr1/pppb3p/2B1p3/4N2n/3P1pp1/8/PP4PP/RNBQ1RK1 b q -,d7c6,Bxc6,-121,b7c6,108,bishop,True,False,1
r1bqkb1r/ppp2ppp/2n5/3Bp3/4N3/5N2/PPPP1PPP/R1BQK2R b KQkq -,d8d5,Qxd5,-92,f7f5,336,queen,True,False,3
r3kb1r/pp3ppp/2N1pn2/q7/3P4/2N5/PP2bPPP/R1BQ1RK1 b - -,a5c3,Qxc3,-385,a5a2,6,queen,True,False,2
3rqrk1/p1p2ppp/2P5/2b5/8/2N1B3/PPP1B1PP/R2Q1K1R b - -,d8d1,Rxd1+,-372,e8e3,0,rook,True,True,7
4rk2/5pR1/pp3Pp1/2pbr1Q1/3p4/2P5/P5PP/2B3K1 w - -,g7h7,Rh7,861,g5f4,446,rook,False,False,
7k/4R3/6p1/2r4p/5P1K/6P1/7P/8 b - -,h8g8,Kg8,7,c5a5,512,king,False,False,
5rk1/3Q2pp/2p5/1pp1Pp2/5Pn1/2PB2Pq/1P5P/R1B3K1 w Qq -,d3c4,Bc4+,60,c1e3,-558,bishop,False,True,
rnbqkb1r/ppp1pppp/5P2/8/3p4/2N5/PPPP1PPP/R1BQKBNR b KQkq -,d4c3,dxc3,33,g7f6,208,pawn,True,False,
r1bq1rk1/ppp2ppp/5n2/2bPN3/2Bn4/8/PPP2PPP/RNBQ1RK1 w - -,c1e3,Be3,266,b1c3,112,bishop,False,False,
r1bqkb1r/pp1n1ppp/2n1p3/3pP3/3p4/2PB4/PP1NNPPP/R1BQK2R w KQkq -,c3d4,cxd4,43,f2f4,-114,pawn,True,False,
rnbq1rk1/ppp1Bpp1/4p2p/3p4/2PPn3/2N1PN2/PP3PPP/R2QKB1R b KQ -,d8e7,Qxe7,19,e4c3,175,queen,True,False,1
r1bq1rk1/ppp2ppp/5n2/2bPN3/2Bn4/4B3/PPP2PPP/RN1Q1RK1 b - -,b7b5,b5,268,d4c2,410,pawn,False,False,
r1bqkb1r/pp2pppp/2n2n2/4p3/2B5/2N2N2/PP3PPP/R1BQK2R w KQkq -,d1d8,Qxd8+,58,d1e2,-127,queen,True,True,7
rn2kbnr/pR3pp1/2p1p3/3pP1Bp/3P3P/3Q4/2PN1PP1/q3K1NR w Kkq -,e1e2,Ke2,206,b7b1,93,king,False,False,
4qrk1/p1p2ppp/2P5/2b5/8/2N1B3/PPP1B1PP/R2r1K1R w - -,c3d1,Nxd1,-378,a1d1,-592,knight,True,False,
r1b1kb1r/pp1n1ppp/1qn1p3/3pP3/3p4/2PB1N2/PP2NPPP/R1BQK2R w KQkq -,c3d4,cxd4,64,c1f4,-70,pawn,True,False,
r3kb1r/pp3ppp/2N1pn2/8/3P4/2P5/P4PPP/R1BR2K1 b - -,b7c6,bxc6,-417,f6d5,-185,pawn,True,False,
r3kb1r/pp3ppp/2N1pn2/8/3P4/2P5/P3bPPP/R1BQ1RK1 b - -,e2d1,Bxd1,-400,e2f1,592,bishop,True,False,1
4rbk1/2p2p1R/ppq1pBp1/3nP3/3P2P1/1P2QN2/1P3P1P/1K6 b - -,c6c2,Qc2+,-106,d5f6,399,queen,False,True,
rnbqkbnr/pp2pppp/8/8/2p1PN2/2Pp1N2/PP1P1PPP/R1BQKB1R w KQkq -,d1a4,Qa4+,215,a1b1,56,queen,False,True,
6k1/p3qpbp/2p1b1p1/2Pp3n/7r/1P1N1P2/P3BQPP/R4R1K w - -,g2g4,g4,0,g2g3,-138,pawn,False,False,
3r4/6k1/3PR3/pp1b1p2/5P1p/P2B4/1P3KP1/8 w - -,e6e7,Re7+,300,e6e5,69,rook,False,True,
rq3rk1/b1p2pp1/p1n4p/5N2/2b1PpP1/5Q1P/PBB2P2/3RK2R w - -,f3c3,Qc3,332,b2g7,-44,queen,False,False,
1K6/1P4p1/2n4k/p6p/8/8/8/8 w - -,b8c7,Kc7,518,b8c8,-450,king,False,False,
r3k2r/ppq2ppp/2n1b3/2b1P2Q/2B1n3/8/PPPP2PP/R1B1K1NR w KQkq -,c4e6,Bxe6,-343,c4b5,-574,bishop,True,False,2
5rk1/1B2bp1p/p2p1p2/q4R2/8/2r5/P1PQ2PP/1R5K b - -,c3b3,Rb3,-507,a5f5,0,rook,False,False,
3r3k/pp3pp1/4p2p/2b1P2P/1q1rR3/1Q2B3/5KP1/2R5 w - -,e4d4,Rxd4,49,b3b4,-345,rook,True,False,1
r1bqk2r/2ppbppp/p1n2n2/1p2p3/B3P3/5N2/PPPP1PPP/RNBQR1K1 w kq -,a4b3,Bb3,14,d2d4,-297,bishop,False,False,
r1bq1rk1/pp2bppp/2n1p3/8/2BP4/2n2N2/PP3PPP/R1BQR1K1 w - -,b2c3,bxc3,95,d1d3,-445,pawn,True,False,
8/5Npp/p1P5/P1R3rk/1p4b1/3r1pK1/4BP1P/7R b - -,f3e2,fxe2+,-1509,g5c5,477,pawn,True,True,
2b1qrk1/4npp1/4R2p/b2p4/2pP2P1/p1P2QB1/P1B2PP1/1R3NK1 b - -,c8e6,Bxe6,120,f7e6,226,bishop,True,False,2
r2qkb1r/ppp1pppp/2n2n2/3P2B1/4p1b1/2N5/PPP2PPP/R2QKBNR w KQkq -,f2f3,f3,209,f1e2,49,pawn,False,False,
3r3k/pp3pp1/4p2p/2b1P2P/1Q1rR3/4B3/5KP1/2R5 b - -,d4b4,Rxb4,-97,d4d2,505,rook,True,False,2
r1bqkb1r/pppp1ppp/2n5/8/3NN3/8/PPP2PPP/R1BQKB1R b KQkq -,d8e7,Qe7,14,d7d5,343,queen,False,False,
8/5b2/2r2k2/pB3p2/5P1p/P7/1P3KP1/8 w - -,b5c6,Bxc6,480,f2g1,-766,bishop,True,False,1
